sexe,vague,semaine,anxiete,anxiete_inf,anxiete_sup,depression,depression_inf,depression_sup,pbsommeil,pbsommeil_inf,pbsommeil_sup,hyg4mes,hyg4mes_inf,hyg4mes_sup,dist3mes,dist3mes_inf,dist3mes_sup,nbmoy7mes,nbmoy7mes_inf,nbmoy7mes_sup,nbmoy4mesHyg,nbmoy4mesHyg_inf,nbmoy4mesHyg_sup,dist1m,dist1m_inf,dist1m_sup,portmasque,portmasque_inf,portmasque_sup
Homme,Vague 1,23/03/20,21,3,18,9,24,1,,,,,,,,,,,,,,,,,,,,,
Femme,Vague 1,23/03/20,31,6,28,9,34,5,,,,,,,,,,,,,,,,,,,,,
Homme,Vague 2,30/03/20,16,6,14,4,19,1,18,5,16,2,21,1,54,2,51,0,57,4,41,5,38,4,44,7,65,7,62
Femme,Vague 2,30/03/20,26,0,23,4,28,7,21,1,18,7,23,7,67,8,64,8,70,6,57,6,54,6,60,6,74,5,71
Homme,Vague 3,14/04/20,14,4,12,3,16,8,15,3,13,1,17,7,57,2,54,0,60,3,38,0,34,9,41,1,59,2,56
Femme,Vague 3,14/04/20,21,5,19,1,24,1,19,7,17,4,22,3,69,5,66,7,72,3,54,8,51,7,57,8,70,7,67
Homme,Vague 4,20/04/20,13,6,11,5,16,0,17,6,15,3,20,2,60,6,57,5,63,7,40,2,37,0,43,3,58,7,55
Femme,Vague 4,20/04/20,23,7,21,2,26,4,23,0,20,5,25,6,72,4,69,6,75,1,51,1,48,1,54,2,67,1,64
Homme,Vague 5,28/04/20,14,7,12,5,17,3,18,0,15,5,20,7,59,5,56,3,62,7,35,5,32,4,38,7,54,5,51
Femme,Vague 5,28/04/20,21,2,18,8,23,8,20,5,18,2,23,1,72,0,69,2,74,6,50,2,47,2,53,2,65,5,62
Homme,Vague 6,04/05/20,15,1,12,9,17,6,15,7,13,5,18,2,60,4,57,2,63,5,35,3,32,3,38,5,53,3,50
Femme,Vague 6,04/05/20,21,4,19,9,24,0,21,2,18,8,23,8,71,6,68,7,74,2,52,7,49,6,55,7,60,9,57
Homme,Vague 7,13/05/20,15,7,13,4,18,3,13,4,11,3,15,9,63,0,59,8,66,2,35,1,32,0,38,3,,,
Femme,Vague 7,13/05/20,19,3,17,2,21,9,14,7,12,7,17,0,71,0,68,1,73,7,50,0,46,9,53,1,,,
Homme,Vague 8,18/05/20,12,9,10,8,15,3,10,2,8,4,12,4,56,0,52,7,59,2,33,7,30,7,36,9,,,
Femme,Vague 8,18/05/20,20,5,18,2,23,1,13,7,11,8,15,9,69,0,66,2,71,8,48,7,45,7,51,7,,,
Homme,Vague 9,27/05/20,13,4,11,3,15,8,12,2,10,2,14,6,60,3,57,1,63,5,35,2,32,2,38,4,,,
Femme,Vague 9,27/05/20,19,3,17,0,21,9,12,3,10,5,14,5,71,5,68,7,74,2,48,1,45,1,51,2,,,
Homme,Vague 10,08/06/20,14,8,12,6,17,2,9,8,8,1,11,9,58,1,54,9,61,3,27,7,24,9,30,7,,,
Femme,Vague 10,08/06/20,17,0,14,8,19,4,12,8,10,9,15,0,70,3,67,4,73,0,45,0,42,0,48,1,,,
Homme,Vague 11,22/06/20,12,2,10,2,14,6,10,9,9,0,13,1,55,6,52,3,58,9,29,2,26,3,32,3,,,
Femme,Vague 11,22/06/20,17,7,15,5,20,1,11,4,9,6,13,5,68,3,65,5,71,1,42,1,39,2,45,1,,,
Homme,Vague 12,06/07/20,11,7,9,7,14,0,9,4,7,6,11,5,59,1,55,8,62,3,29,3,26,3,32,4,,,
Femme,Vague 12,06/07/20,21,9,19,4,24,6,11,7,9,9,13,8,71,0,68,2,73,7,40,1,37,1,43,1,,,
Homme,Vague 13,20/07/20,12,4,10,4,14,7,11,4,9,5,13,7,58,9,55,7,62,1,29,5,26,6,32,5,,,
Femme,Vague 13,20/07/20,22,2,19,7,24,9,11,9,10,0,14,0,68,9,66,0,71,7,40,4,37,4,43,5,,,
Homme,Vague 14,24/08/20,13,4,11,2,15,9,10,5,8,7,12,7,56,6,53,3,59,8,23,6,20,9,26,5,,,
Femme,Vague 14,24/08/20,21,2,18,8,23,9,12,9,11,0,15,0,71,8,69,0,74,5,38,4,35,5,41,4,,,
Homme,Vague 15,21/09/20,14,8,12,5,17,4,10,7,8,7,13,0,58,6,55,3,61,8,25,1,22,4,28,1,,,
Femme,Vague 15,21/09/20,21,0,18,5,23,6,11,2,9,4,13,3,72,3,69,5,75,0,38,9,35,9,41,9,,,
Homme,Vague 16,19/10/20,14,9,12,7,17,4,13,0,10,9,15,4,58,1,54,8,61,2,33,0,30,0,36,2,,,
Femme,Vague 16,19/10/20,22,9,20,4,25,5,17,9,15,6,20,3,70,3,67,5,73,1,41,0,38,0,44,0,,,
Homme,Vague 17,04/11/20,"16,2","13,9","18,7","18,2","15,8","20,8","56,6","53,3","59,8",,,,,,,,,,,,,,,,,,
Femme,Vague 17,04/11/20,25,"22,4","27,7","22,8","20,3","25,5",69,"66,1","71,8",,,,,,,,,,,,,,,,,,
Homme,Vague 18,23/11/20,14,"11,8","16,4","19,2","16,7",22,"58,3",55,"61,4",,,,,,,,,,,,,,,,,,
Femme,Vague 18,23/11/20,"22,7","20,2","25,4","25,6",23,"28,3","72,5","69,7","75,1",,,,,,,,,,,,,,,,,,
Homme,Vague 19,14/12/20,"14,6","12,4","17,1","16,5","14,2","19,1","58,7","55,4","61,9",,,,,,,,,,,,,,,,,,
Femme,Vague 19,14/12/20,"25,4","22,9","28,1","24,2","21,7","26,8","73,1","70,3","75,7",,,,,,,,,,,,,,,,,,
Homme,Vague 20,18/01/21,"16,3","13,9","18,9",18,"15,6","20,8","61,4","58,1","64,6",,,,,,,,,,,,,,,,,,
Femme,Vague 20,18/01/21,"21,9","19,5","24,5","20,8","18,5","23,4","72,1","69,3","74,7",,,,,,,,,,,,,,,,,,
Homme,Vague 21,15/02/21,"19,4",17,"22,2","21,6",19,"24,3","59,6","56,4","62,8",,,,,,,,,,,,,,,,,,
Femme,Vague 21,15/02/21,"25,7","23,1","28,4","23,7","21,2","26,4","71,3","68,5",74,,,,,,,,,,,,,,,,,,
Homme,Vague 22,15/03/21,"16,2","13,9","18,8","18,4",16,"21,1","59,5","56,2","62,7",,,,,,,,,,,,,,,,,,
Femme,Vague 22,15/03/21,"24,9","22,3","27,6","21,9","19,4","24,5","70,7","67,8","73,4",,,,,,,,,,,,,,,,,,
